Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Apr 26, 2022","Apr 26, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size quilts and coverlets,5,1,20.0000%,$0.48,$0.48,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 26, 2022","May 01, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size quilts clearance,35,3,8.5714%,$0.62,$1.87,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 27, 2022","Apr 27, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size quilts for bed,39,1,2.5641%,$0.52,$0.52,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 26, 2022","Apr 26, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size spread,5,2,40.0000%,$0.48,$0.96,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 25, 2022","Apr 26, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size spread for bed,10,3,30.0000%,$0.46,$1.39,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 27, 2022","Apr 27, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size spreads clearance,5,2,40.0000%,$0.59,$1.17,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 26, 2022","Apr 30, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size summer bedding,15,2,13.3333%,$0.43,$0.85,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 25, 2022","Apr 25, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size summer bedspread spread,2,1,50.0000%,$0.49,$0.49,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 27, 2022","May 01, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size summer comforter,81,10,12.3457%,$0.48,$4.80,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 30, 2022","Apr 30, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size summer comforter cotton,1,1,100.0000%,$0.43,$0.43,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 28, 2022","Apr 28, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size taupe bedding solid,2,1,50.0000%,$0.43,$0.43,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 01, 2022","May 01, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size thin bedspread,1,1,100.0000%,$0.52,$0.52,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 25, 2022","Apr 25, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size thin comforter set,1,1,100.0000%,$0.49,$0.49,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 28, 2022","Apr 28, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king size washable bedspread,2,1,50.0000%,$0.64,$0.64,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 27, 2022","Apr 30, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king sized bedding,12,2,16.6667%,$0.44,$0.88,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 26, 2022","Apr 29, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king sized blanket,97,3,3.0928%,$0.49,$1.46,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 27, 2022","Apr 27, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king sized comforter,21,1,4.7619%,$0.63,$0.63,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 30, 2022","Apr 30, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king sized quilted bed spread,3,2,66.6667%,$0.44,$0.87,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"Apr 25, 2022","Apr 25, 2022",Quilt Set,USD,1804 auto,1804,*,BROAD,king sized quilts for bed cotton,7,1,14.2857%,$0.48,$0.48,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
